Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice
11340,4,6,1885,1950,2290,2,4,0,2,122500
10560,6,7,1922,1994,1470,1,2,0,2,140750
5830,5,6,1950,1997,1612,1,3,0,1,128500
7793,7,7,1922,2005,2068,1,3,1,1,209500
5000,4,7,1925,1950,765,1,2,0,1,87000
6000,6,7,1939,1950,1132,1,2,0,1,134000
6000,6,6,1940,1950,1196,1,3,2,2,128000
6360,5,6,1942,1950,1453,1,3,2,1,132000
6000,6,7,1948,1950,1416,1,3,0,1,139900
6240,5,7,1936,1980,1040,1,2,0,2,123900
6240,5,5,1930,1950,1536,2,4,1,2,138400
6120,6,5,1923,1950,1068,1,2,1,1,109500
10300,7,6,1921,1950,1710,2,3,0,2,140000
8094,4,5,1915,1950,1962,1,4,1,2,149500
12900,6,8,1912,2009,1560,1,3,0,0,159900
3068,6,8,1920,1993,1324,1,3,0,1,122000
8472,5,5,1963,1963,816,1,2,0,2,110000
5600,4,5,1930,1950,1092,2,3,0,0,55000
7630,5,9,1900,1996,1812,2,4,1,2,140000
24090,7,7,1940,1950,2403,2,4,2,1,244400
15263,5,5,1959,1959,1675,2,3,2,1,173000
10632,5,3,1917,1950,1224,1,3,0,1,107500
9900,5,4,1915,1950,1392,1,3,0,0,100000
6001,6,5,1940,1950,919,1,3,0,1,95000
6449,4,1,1907,1950,1884,1,4,0,0,93369
6048,5,7,1910,1950,1680,2,2,1,2,114900
6342,5,8,1875,1996,1020,1,2,0,0,94000
10773,4,3,1967,1967,1832,2,4,0,0,136000
10778,4,5,1968,1968,1768,2,4,0,0,136500
11625,5,4,1965,1965,1039,1,3,0,2,131500
11341,5,6,1957,1996,1392,1,3,1,2,121500
8521,5,5,1967,1967,912,1,3,1,1,125000
8246,5,8,1968,2001,1060,1,3,1,1,154000
7800,5,7,1966,2008,892,1,3,0,1,137900
9364,6,7,1969,1969,1352,1,4,0,1,158000
7832,5,5,1968,1968,864,1,2,0,1,137250
7424,5,5,1978,1978,1373,1,3,2,2,160250
11227,5,5,1968,1968,1440,1,4,2,2,163000
11616,6,5,1978,1978,1386,2,3,1,2,158900
14000,7,5,1996,1997,2260,2,3,0,2,328000
20062,7,7,1977,2001,1483,1,1,2,2,270000
9259,4,4,1927,1950,756,1,2,0,2,85000
9600,4,7,1950,1995,1067,2,2,0,2,128000
23595,7,6,1979,1979,1524,0,0,1,2,260000
17082,6,5,1978,1992,1981,2,4,1,2,230000
18600,3,4,1938,1990,1610,2,4,1,1,124000
10625,5,5,1920,1950,835,1,2,0,1,83000
11479,6,7,1950,1987,1074,1,3,1,1,144500
9571,5,6,1956,1956,1144,1,3,0,1,129000
9350,4,6,1947,1979,1531,1,3,1,1,127000
9525,5,7,1954,1998,1172,1,3,0,1,128000
10420,6,5,2009,2009,1212,2,3,0,2,186000
17485,7,5,2009,2010,1508,1,1,2,2,308030
11200,5,3,1964,1964,1298,2,3,0,2,114000
11100,4,7,1946,2006,930,1,2,0,1,84900
9206,6,5,1985,1985,1732,2,3,1,2,178000
11980,7,5,1987,1987,1433,1,1,2,2,270000
12361,6,7,1993,1993,1802,2,3,1,4,218000
9938,7,5,1993,1994,1949,2,3,1,2,236000
9069,6,6,1992,1992,996,1,2,0,2,147000
10475,8,5,2008,2008,1694,2,3,0,3,245350
6762,7,5,2006,2006,1208,2,2,0,2,206000
10402,7,5,2009,2009,1226,2,3,0,3,198900
7360,7,5,2010,2010,1222,2,2,0,2,187000
12376,7,5,1990,1990,3222,3,5,2,3,320000
14235,6,8,1900,1993,1445,2,3,0,2,138500
8816,6,7,1971,1971,1052,1,3,0,2,155000
11105,5,5,1996,1996,965,1,2,0,2,159000
9337,7,5,1997,1998,1692,2,3,1,2,191000
8750,6,5,1998,1998,1682,2,3,0,2,200500
15240,5,8,1977,2004,1026,1,3,0,1,150000
10900,6,7,1977,1977,1392,1,3,0,1,161750
10650,5,6,1976,1976,894,1,3,0,1,128200
7480,5,6,1972,1972,876,1,3,0,2,127000
10389,8,5,2003,2003,1978,2,3,1,3,318000
11423,8,5,2001,2002,1601,2,3,1,2,272000
9548,7,6,2003,2003,1829,2,3,1,2,237000
9375,7,5,1997,1997,2098,2,4,1,2,240000
12137,7,5,1998,1998,1661,2,3,0,2,224900
4435,6,5,2003,2003,848,1,1,0,2,143750
4426,6,5,2004,2004,848,1,1,0,2,143000
10635,8,5,2003,2003,1668,2,3,1,2,232000
8400,7,5,2004,2005,1484,2,3,0,2,213000
8773,7,5,2004,2004,1414,2,3,0,2,185500
8777,3,6,1945,2007,640,1,2,0,1,84900
8842,5,6,1954,1954,992,1,3,0,1,155891
9825,5,5,1965,1965,1664,2,4,0,0,100000
10044,5,6,1968,1968,1196,1,3,0,1,144000
11792,4,5,1948,1950,1120,1,2,0,2,64000
6305,6,6,1975,1975,1096,1,3,1,1,125200
7819,6,5,1976,1976,1117,1,3,1,2,107000
6410,4,5,1958,1958,960,1,3,0,0,90000
8546,4,5,2003,2004,1121,2,2,0,2,140000
8741,6,4,1945,1950,1487,1,3,1,1,113000
12180,4,4,1941,1950,924,1,2,0,1,80000
8562,5,6,1957,2002,1526,1,4,1,1,144500
4853,5,6,1924,1999,1296,2,2,1,1,104000
6858,6,4,1915,1950,1647,1,4,0,1,128000
8212,3,3,1914,1950,864,1,2,0,1,58500
5000,5,6,1924,1950,1691,2,3,1,1,127000
7890,6,6,1939,1950,856,1,2,1,2,126000
7200,4,6,1967,1967,2650,3,6,0,0,160000
9839,5,2,1931,1950,1666,1,3,1,0,100000
9638,6,7,1919,1990,2447,2,4,1,1,169000
10452,7,6,1941,1985,2133,1,4,2,1,257500
15600,5,6,1950,1991,2177,2,5,0,2,215000
9042,7,9,1941,2006,2340,2,4,2,1,266500
17500,7,8,1959,2002,1902,2,3,2,2,335000
19645,7,6,1994,2007,1652,2,3,0,2,203135
3907,8,6,1989,1989,1034,1,1,1,2,185000
3907,8,5,1989,1989,1191,2,2,1,2,162500
15602,7,8,1959,1997,1801,2,1,2,2,289000
5436,4,8,1922,2007,1154,1,3,0,1,125500
8154,2,5,1941,1950,540,1,1,0,1,82000
9140,6,5,1921,1975,1107,1,2,0,1,110000
7500,4,4,1920,1950,1128,1,2,0,2,68400
8712,4,7,1900,1950,1178,1,2,0,1,102776
8712,5,5,1952,1952,1044,1,2,0,2,55993
8712,4,7,1896,1950,952,1,3,0,1,50138
3811,8,5,2004,2005,1646,2,2,1,2,246000
11050,8,5,1998,1999,1916,2,3,1,3,254900
9620,6,7,1977,1977,1285,2,3,1,2,190000
9196,7,5,2003,2003,1560,2,3,0,2,201000
12328,6,5,1976,1976,1034,1,3,0,3,169900
12760,6,5,1976,1976,2048,3,5,0,2,170000
57200,5,5,1948,1950,1687,1,3,2,2,160000
11896,7,5,2008,2008,1346,2,3,1,3,220000
9803,7,5,2009,2010,1214,2,2,0,2,179781
9802,5,5,2006,2007,1444,2,3,0,2,174000
12003,8,5,2009,2010,1968,2,4,1,3,269500
11316,7,5,2002,2003,1894,2,4,1,2,214900
14191,8,5,2002,2002,1908,2,4,0,2,202900
13214,9,5,2008,2009,2018,2,3,1,3,378500
15300,5,5,1965,1977,1264,1,2,1,2,169000
10114,5,5,2004,2005,1430,2,3,0,2,173500
9400,6,5,1971,1971,1824,2,4,0,0,139000
11875,5,5,1999,1999,1344,2,3,1,2,166500
1974,4,5,1973,1973,1092,1,3,0,1,83500
2394,5,6,1973,1973,945,1,2,1,1,119500
2592,5,3,1976,1976,1112,1,3,0,1,85000
1476,4,7,1970,1970,1092,1,3,0,0,76000
1491,4,6,1972,1972,630,1,1,0,0,75500
1900,4,4,1970,1970,1092,1,3,0,0,88250
1890,4,6,1972,1972,1092,1,3,0,1,85500
6953,5,7,1971,2004,874,1,3,0,1,130000
26142,5,7,1962,1962,1188,1,3,0,1,157900
12887,5,7,1984,1984,833,1,2,0,2,149900
7700,5,2,1985,1986,2432,4,4,0,2,159000
10475,5,5,1991,1991,1274,1,3,0,2,136000
10544,5,5,1969,1969,1479,2,5,0,1,161000
9892,8,5,1994,1995,1803,2,3,2,2,285000
12961,6,5,1993,1994,1797,2,3,1,2,231000
13008,6,5,1956,1956,882,1,2,0,1,124500
10200,6,5,1974,1974,1434,2,4,1,2,157000
13860,8,7,1972,1995,2704,2,4,3,2,345000
10179,6,5,1997,1997,1608,2,3,1,2,189500
11792,8,5,2003,2003,2283,2,4,1,3,270000
8400,7,5,1996,1997,1628,2,3,1,2,189000
14892,9,5,2006,2007,1746,2,3,2,3,377500
8530,7,5,1995,1996,1474,2,3,1,2,168500
7296,8,5,2004,2005,2522,2,1,1,2,375000
5664,8,5,2000,2000,1659,2,2,1,2,278000
7380,8,5,1998,1998,1478,2,2,0,2,240000
8013,8,5,1995,1996,1734,2,2,0,2,239500
8923,7,5,1998,1998,1382,2,3,1,2,177500
10141,7,5,1998,1998,1718,2,3,1,2,185000
7500,6,5,1998,1999,1636,2,3,1,2,191000
7837,6,7,1993,1994,1571,2,3,1,2,178000
9765,6,8,1993,1993,1470,2,3,1,2,185000
8803,6,5,1994,1995,1516,2,3,1,2,181316
7250,6,5,1993,1993,1190,2,3,1,2,166000
9636,6,5,1992,1993,1593,2,3,1,2,178000
8125,6,5,1994,1995,1481,2,3,1,2,174000
9248,6,6,1992,1992,1167,2,3,0,2,173000
10762,7,5,1999,1999,1983,2,3,1,2,225000
11851,7,5,1990,1990,1442,2,3,0,2,180500
5814,8,5,1984,1984,1360,1,1,1,2,187500
17423,9,5,2008,2009,2234,2,1,1,3,501837
11844,8,5,2008,2008,2046,2,3,1,3,372500
16158,7,5,2005,2005,1530,2,3,1,2,260000
11900,5,6,1977,1977,1934,2,3,1,2,185000
13005,7,7,1980,1980,2353,2,4,1,2,260000
17043,6,5,1979,1998,1586,2,3,1,2,181000
11900,7,5,1977,1977,1411,2,3,1,2,82500
16635,6,7,1977,2000,1602,2,3,1,2,215000
13250,7,6,1978,1978,2050,2,4,1,2,154000
10928,6,6,1978,1986,1671,2,3,1,2,200000
12388,7,7,1980,1991,2673,2,4,1,2,249000
14115,7,5,1980,1980,1472,2,3,2,2,187500
11088,6,5,1978,1998,1707,2,3,1,2,184000
9600,8,5,1981,1981,2524,2,4,1,2,278000
11880,7,5,1978,1978,1601,2,3,1,2,157000
10400,7,5,1976,1976,1370,2,3,1,2,152000
10304,5,7,1976,1976,1868,2,4,1,2,197500
7000,7,5,2003,2003,1884,2,3,1,2,240900
8004,8,5,2009,2009,1935,2,3,0,2,263435
7500,8,5,2000,2001,1874,2,3,1,2,220000
8470,8,5,2002,2002,1811,2,3,1,2,235000
9373,5,7,1975,1975,1621,2,3,2,2,213000
10140,6,6,1974,1974,1116,2,3,1,2,167900
11050,7,5,1975,1975,1193,2,3,1,2,158000
10140,6,5,1974,1974,1350,2,3,1,2,165000
10448,6,6,1972,1972,2119,2,3,1,2,158000
9000,5,5,1974,1974,1792,2,4,0,0,136000
8750,5,6,1970,1970,1002,1,3,0,2,148500
7930,6,8,1969,2005,1026,1,3,0,2,156000
7830,5,5,1970,1970,1180,1,2,0,2,128000
8510,5,7,1971,1971,1050,1,3,0,1,143000
7038,4,6,1970,1970,864,1,3,0,2,76500
6960,4,6,1970,1970,864,1,3,0,2,120500
8120,4,7,1970,1970,864,1,3,0,2,124500
10500,4,6,1971,1971,864,1,2,0,2,97000
9000,4,7,1971,2006,864,1,3,0,2,130000
1680,6,5,1973,1973,987,1,2,0,1,111000
2368,5,6,1970,1970,1365,1,3,0,2,125000
1680,5,5,1971,1971,1302,2,3,0,1,112000
1680,6,6,1972,1972,987,1,2,0,1,97000
1680,6,8,1972,2007,987,1,2,0,1,118000
1680,5,7,1972,1972,1302,2,3,0,1,119500
4928,6,6,1976,1976,958,2,2,0,2,143750
2308,6,5,1976,1976,1548,2,3,1,2,146000
2280,6,6,1976,1976,1456,2,3,1,2,148500
2280,7,5,1975,1975,1055,2,2,1,2,123000
2308,6,5,1974,1974,1322,2,3,1,2,147000
2349,6,5,1977,1977,1456,2,3,1,2,137900
2364,6,5,1978,1978,1548,2,3,1,2,147000
2289,6,6,1978,1978,1441,2,3,1,2,148500
2364,6,5,1978,1978,1456,2,3,1,2,138000
2104,7,6,1976,1976,836,1,2,0,1,128500
7150,5,5,1967,1967,892,1,3,0,1,100000
10710,5,7,1966,2004,1120,1,3,1,2,148800
12456,10,5,2006,2007,1718,2,3,1,3,337500
14257,9,5,2007,2007,2772,3,4,3,3,462000
13518,9,5,2008,2009,3140,3,4,2,3,485000
15431,10,5,2008,2008,2402,2,2,2,3,555000
13173,9,5,2006,2007,1652,2,2,2,2,325000
14230,8,5,2007,2007,1600,2,3,1,3,256300
12704,8,5,2008,2009,2042,2,3,1,3,253293
12350,9,5,2009,2009,2690,2,3,1,3,398800
11308,9,5,2008,2008,2184,2,3,1,3,335000
12350,9,5,2008,2008,2020,2,3,1,3,404000
12220,10,5,2009,2009,2020,2,3,1,3,402861
13478,10,5,2008,2008,2296,2,3,1,3,451950
13693,10,5,2007,2007,2674,2,2,2,3,610000
13891,9,5,2008,2009,2822,3,4,1,3,582933
11578,9,5,2008,2008,1736,2,3,1,3,360000
16870,8,5,2004,2005,1782,2,3,2,3,296000
23303,8,5,2007,2007,2520,2,5,1,3,409900
11146,8,5,2006,2006,1717,2,3,1,3,255500
10367,9,5,2008,2008,1743,2,3,1,3,335000
9591,8,5,2004,2005,1713,2,3,1,3,274900
10872,9,5,2006,2006,1531,2,2,1,3,300000
13514,9,5,2008,2008,1808,2,3,1,3,324000
8834,9,5,2004,2005,2224,2,4,1,3,350000
11362,8,5,2004,2005,1836,2,3,1,3,280000
10655,8,5,2003,2004,1629,2,3,1,3,284000
12878,7,5,2003,2004,1760,2,3,1,2,269500
9541,7,5,2009,2009,1502,2,3,0,2,233170
13472,10,5,2003,2003,2392,2,3,1,3,386250
15274,9,5,2003,2003,2452,2,3,1,3,445000
13262,8,5,2003,2004,2400,3,4,1,3,290000
9658,8,5,2006,2006,1606,2,3,1,3,255900
6904,6,5,2005,2005,1358,2,2,1,2,213000
5381,6,5,2005,2005,1306,2,1,1,2,196000
5122,6,5,2005,2005,1306,2,1,1,2,184500
10307,7,5,2007,2008,1358,2,2,1,2,212500
5001,7,5,2007,2008,1314,2,2,1,2,230000
14836,10,5,2004,2005,2492,2,2,1,3,552000
15262,8,5,2003,2004,2200,2,3,1,3,382500
7390,9,5,2008,2009,1884,2,2,1,2,320000
6472,9,5,2008,2008,1456,2,2,1,2,248500
16770,8,5,2002,2003,1712,2,3,1,3,286500
6240,8,5,2006,2006,1324,2,2,1,2,254000
3480,7,5,2003,2003,1405,2,2,1,2,173000
2268,7,5,2003,2004,1626,2,2,0,2,173000
10928,7,5,2005,2005,1456,2,3,1,2,184000
8918,6,5,2005,2006,1490,2,3,1,2,167800
12589,6,5,2005,2005,1484,2,3,1,2,174000
11911,6,5,2005,2005,1560,2,3,1,2,174000
3684,7,5,2007,2007,1555,2,2,1,3,174000
3635,7,5,2007,2007,1569,2,1,1,3,175900
3182,7,5,2005,2006,1555,2,2,1,2,192500
3182,7,5,2005,2006,1504,2,1,1,2,181000
3182,7,5,2005,2006,1220,2,2,1,2,180000
3182,7,5,2005,2006,1145,2,2,1,2,160200
7795,7,5,2004,2005,1432,2,3,1,2,188500
8068,6,5,2002,2002,2267,2,4,1,2,200000
9434,7,5,2004,2005,1374,2,3,1,2,170000
7984,7,5,2004,2005,1630,2,3,1,2,189500
7750,8,5,2002,2002,1419,2,3,1,2,184100
10125,7,5,2004,2004,1594,2,3,1,2,195500
8965,7,5,2003,2003,1489,2,3,1,2,192000
8174,7,5,2003,2003,1342,2,3,1,2,178000
5063,7,5,2007,2008,1314,2,2,1,2,207500
8795,7,5,2000,2000,2256,2,4,1,2,236000
12891,8,5,2002,2002,2004,2,4,1,3,257500
12224,6,5,2000,2000,2054,2,3,1,2,244000
9734,7,5,2004,2004,1374,2,3,0,2,167000
8123,6,5,2000,2000,1800,2,3,1,2,179000
8433,6,5,2000,2000,1514,2,3,1,2,190000
7750,7,5,1999,2000,1430,2,3,1,2,156000
15896,7,5,1999,1999,2312,2,4,1,3,245000
24682,6,5,1999,1999,1675,2,3,1,2,181000
8755,7,5,1999,1999,2060,2,3,1,2,214000
7848,7,6,1999,1999,1430,2,3,1,2,168000
9430,8,5,1999,1999,2365,2,3,1,3,337000
15138,8,5,1995,1996,2794,2,4,1,3,403000
12720,8,5,2000,2000,2687,2,4,2,3,327000
16545,8,5,1998,1998,2450,2,3,1,3,340000
12203,8,5,1998,1999,2612,2,4,1,3,336000
10208,7,5,1996,1997,2344,2,3,1,3,265000
10750,8,5,1994,1995,2063,2,3,2,3,315000
9900,7,5,1993,1993,2646,2,4,1,3,260000
9085,7,5,1995,1996,2061,2,3,1,2,260000
11692,8,5,1993,1994,2232,2,3,1,2,263550
46589,8,7,1994,2005,2448,2,4,1,3,402000
29959,7,6,1994,1994,1850,2,3,1,2,248000
9612,8,5,2008,2009,1468,2,3,1,3,244600
11194,8,5,2008,2008,1696,2,3,0,3,275000
10206,8,5,2008,2008,1658,2,3,1,3,257500
9262,8,5,2008,2009,1578,2,3,1,3,287090
10130,8,5,2007,2007,1702,2,3,1,3,275500
9139,8,5,2006,2006,1432,2,3,1,2,245000
9675,7,5,2005,2005,1971,2,3,1,2,253000
11128,9,5,2005,2006,2490,2,2,2,3,468000
